Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
52,344,56,2025-02-23,OKC,@,MIN,W 130-123,1,32:11,2,4,0.500,0,2,0.000,2,2,1.000,0.500,0,0,,0,3,3,2,1,0,0,3,4,4.1,-1
53,345,57,2025-02-24,OKC,,MIN,L 128-131 (OT),1,28:38,2,10,0.200,1,5,0.200,1,5,0.200,0.250,0,2,0.000,1,2,3,1,1,1,1,2,5,-0.1,-22
54,346,58,2025-02-26,OKC,@,BRK,W 129-121,1,20:44,1,7,0.143,1,5,0.200,0,2,0.000,0.214,0,0,,0,1,1,2,1,0,2,2,3,-1.6,-19
55,347,59,2025-02-28,OKC,@,ATL,W 135-119,1,32:11,7,13,0.538,6,11,0.545,1,2,0.500,0.769,0,0,,1,3,4,1,2,0,0,3,20,16.8,15
56,348,60,2025-03-02,OKC,@,SAS,W 146-132,1,23:30,4,9,0.444,1,6,0.167,3,3,1.000,0.500,0,0,,4,5,9,2,1,0,0,2,9,10.2,9
57,349,61,2025-03-03,OKC,,HOU,W 137-128,1,28:41,4,8,0.500,3,7,0.429,1,1,1.000,0.688,0,0,,0,0,0,2,1,0,0,2,11,8.6,7
58,350,62,2025-03-05,OKC,@,MEM,W 120-103,1,33:42,1,7,0.143,1,7,0.143,0,0,,0.214,0,0,,0,4,4,3,1,0,1,4,3,0.2,35
58,,63,2025-03-07,OKC,,POR,W 107-89,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,351,64,2025-03-09,OKC,,DEN,W 127-103,1,30:18,2,8,0.250,2,5,0.400,0,3,0.000,0.375,0,0,,2,4,6,3,1,1,1,1,6,6.2,11
60,352,65,2025-03-10,OKC,,DEN,L 127-140,1,34:15,9,16,0.563,8,14,0.571,1,2,0.500,0.813,0,0,,3,4,7,0,4,1,0,3,26,25.2,-8
