season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Iowa St,66,"Mon, Feb 16",Houston,W 70-67,70,67,True
2026,Iowa St,66,"Sat, Feb 21",BYU,L 79-69,79,69,False
2026,Iowa St,66,"Tue, Feb 24",Utah,W 75-59,75,59,True
2026,Iowa St,66,"Sat, Feb 28",Texas Tech,L 82-73,82,73,False
2026,Iowa St,66,"Mon, Mar 2",Arizona,L 73-57,73,57,False
2026,Iowa St,66,"Sat, Mar 7",Arizona St,W 86-65,86,65,True
2026,Iowa St,66,"Wed, Mar 11",Arizona St,W 91-42,91,42,True
2026,Iowa St,66,"Thu, Mar 12",Texas Tech,W 75-53,75,53,True
2026,Iowa St,66,"Fri, Mar 13",Arizona,L 82-80,82,80,False
2026,Michigan St,127,"Mon, Nov 3",Colgate,W 80-69,80,69,True
2026,Michigan St,127,"Sat, Nov 8",Arkansas,W 69-66,69,66,True
2026,Michigan St,127,"Thu, Nov 13",San Jose St,W 79-60,79,60,True
2026,Michigan St,127,"Tue, Nov 18",Kentucky,W 83-66,83,66,True
2026,Michigan St,127,"Fri, Nov 21",Detroit,W 84-56,84,56,True
2026,Michigan St,127,"Tue, Nov 25",East Carolina,W 89-56,89,56,True
2026,Michigan St,127,"Thu, Nov 27",North Carolina,W 74-58,74,58,True
2026,Michigan St,127,"Tue, Dec 2",Iowa,W 71-52,71,52,True
2026,Michigan St,127,"Sat, Dec 6",Duke,L 66-60,66,60,False
2026,Michigan St,127,"Sat, Dec 13",Penn St,W 76-72,76,72,True
2026,Michigan St,127,"Tue, Dec 16",Toledo,W 92-69,92,69,True
2026,Michigan St,127,"Sat, Dec 20",Oakland,W 79-70,79,70,True
2026,Michigan St,127,"Mon, Dec 29",Cornell,W 114-97,114,97,True
2026,Michigan St,127,"Fri, Jan 2",Nebraska,L 58-56,58,56,False
2026,Michigan St,127,"Mon, Jan 5",USC,W 80-51,80,51,True
2026,Michigan St,127,"Thu, Jan 8",Northwestern,W 76-66,76,66,True
2026,Michigan St,127,"Tue, Jan 13",Indiana,W 81-60,81,60,True
2026,Michigan St,127,"Sat, Jan 17",Washington,W 80-63,80,63,True
2026,Michigan St,127,"Tue, Jan 20",Oregon,W 68-52,68,52,True
2026,Michigan St,127,"Sat, Jan 24",Maryland,W 91-48,91,48,True
2026,Michigan St,127,"Fri, Jan 30",Michigan,L 83-71,83,71,False
2026,Michigan St,127,"Wed, Feb 4",Minnesota,L 76-73,76,73,False
2026,Michigan St,127,"Fri, Feb 13",Wisconsin,L 92-71,92,71,False
2026,Michigan St,127,"Tue, Feb 17",UCLA,W 82-59,82,59,True
2026,Michigan St,127,"Sun, Feb 22",Ohio St,W 66-60,66,60,True
2026,Michigan St,127,"Thu, Feb 26",Purdue,W 76-74,76,74,True
2026,Michigan St,127,"Sun, Mar 1",Indiana,W 77-64,77,64,True
2026,Michigan St,127,"Thu, Mar 5",Rutgers,W 91-87,91,87,True
2026,Michigan St,127,"Sun, Mar 8",Michigan,L 90-80,90,80,False
2026,Michigan St,127,"Fri, Mar 13",UCLA,L 88-84,88,84,False
2026,Illinois,356,"Mon, Nov 3",Jackson St,W 113-55,113,55,True
2026,Illinois,356,"Fri, Nov 7",FGCU,W 113-70,113,70,True
2026,Illinois,356,"Tue, Nov 11",Texas Tech,W 81-77,81,77,True
2026,Illinois,356,"Fri, Nov 14",Colgate,W 84-65,84,65,True
2026,Illinois,356,"Wed, Nov 19",Alabama,L 90-86,90,86,False
2026,Illinois,356,"Sat, Nov 22",LIU Brooklyn,W 98-58,98,58,True
2026,Illinois,356,"Mon, Nov 24",UTRGV,W 87-73,87,73,True
2026,Illinois,356,"Fri, Nov 28",Connecticut,L 74-61,74,61,False
2026,Illinois,356,"Sat, Dec 6",Tennessee,W 75-62,75,62,True
2026,Illinois,356,"Tue, Dec 9",Ohio St,W 88-80,88,80,True
2026,Illinois,356,"Sat, Dec 13",Nebraska,L 83-80,83,80,False
2026,Illinois,356,"Mon, Dec 22",Missouri,W 91-48,91,48,True
2026,Illinois,356,"Mon, Dec 29",Southern Univ,W 90-55,90,55,True
2026,Illinois,356,"Sat, Jan 3",Penn St,W 73-65,73,65,True
2026,Illinois,356,"Thu, Jan 8",Rutgers,W 81-55,81,55,True
2026,Illinois,356,"Sun, Jan 11",Iowa,W 75-69,75,69,True
2026,Illinois,356,"Wed, Jan 14",Northwestern,W 79-68,79,68,True
2026,Illinois,356,"Sat, Jan 17",Minnesota,W 77-67,77,67,True
2026,Illinois,356,"Wed, Jan 21",Maryland,W 89-70,89,70,True
2026,Illinois,356,"Sat, Jan 24",Purdue,W 88-82,88,82,True
2026,Illinois,356,"Thu, Jan 29",Washington,W 75-66,75,66,True
2026,Illinois,356,"Sun, Feb 1",Nebraska,W 78-69,78,69,True
2026,Illinois,356,"Wed, Feb 4",Northwestern,W 84-44,84,44,True
2026,Illinois,356,"Sun, Feb 15",Indiana,W 71-51,71,51,True
2026,Illinois,356,"Wed, Feb 18",USC,W 101-65,101,65,True
2026,Illinois,356,"Fri, Feb 27",Michigan,L 84-70,84,70,False
2026,Illinois,356,"Tue, Mar 3",Oregon,W 80-54,80,54,True
2026,Illinois,356,"Sun, Mar 8",Maryland,W 78-72,78,72,True
2026,Virginia,258,"Mon, Nov 3",Rider,W 87-53,87,53,True
2026,Virginia,258,"Fri, Nov 7",NC Central,W 81-62,81,62,True
2026,Virginia,258,"Tue, Nov 11",Hampton,W 91-53,91,53,True
2026,Virginia,258,"Sat, Nov 15",Marshall,W 104-78,104,78,True
2026,Virginia,258,"Fri, Nov 21",Northwestern,W 83-78,83,78,True
2026,Virginia,258,"Sun, Nov 23",Butler,L 80-73,80,73,False
2026,Virginia,258,"Fri, Nov 28",Queens NC,W 94-69,94,69,True
2026,Virginia,258,"Wed, Dec 3",Texas,W 88-69,88,69,True
2026,Virginia,258,"Sat, Dec 6",Dayton,W 86-73,86,73,True
2026,Virginia,258,"Tue, Dec 9",MD E Shore,W 84-60,84,60,True
2026,Virginia,258,"Sat, Dec 20",Maryland,W 80-72,80,72,True
2026,Virginia,258,"Mon, Dec 22",American Univ,W 95-51,95,51,True
2026,Virginia,258,"Sat, Jan 3",NC State,W 76-61,76,61,True
2026,Virginia,258,"Wed, Jan 7",California,W 84-60,84,60,True
2026,Virginia,258,"Sat, Jan 10",Stanford,W 70-55,70,55,True
2026,Virginia,258,"Tue, Jan 13",Louisville,W 79-70,79,70,True
2026,Virginia,258,"Sat, Jan 17",SMU,W 72-68,72,68,True
2026,Virginia,258,"Sat, Jan 24",North Carolina,L 85-80,85,80,False
2026,Virginia,258,"Sat, Jan 31",Boston College,W 73-66,73,66,True
2026,Virginia,258,"Tue, Feb 3",Pittsburgh,W 67-47,67,47,True
2026,Virginia,258,"Sat, Feb 7",Syracuse,W 72-59,72,59,True
2026,Virginia,258,"Tue, Feb 10",Florida St,W 61-58,61,58,True
2026,Virginia,258,"Sat, Feb 14",Ohio St,W 70-66,70,66,True
2026,Virginia,258,"Wed, Feb 18",Georgia Tech,W 94-68,94,68,True
2026,Virginia,258,"Sat, Feb 21",Miami FL,W 86-83,86,83,True
2026,Virginia,258,"Tue, Feb 24",NC State,W 90-61,90,61,True
2026,Virginia,258,"Sat, Feb 28",Duke,L 77-51,77,51,False
2026,Virginia,258,"Tue, Mar 3",Wake Forest,W 75-70,75,70,True
2026,Virginia,258,"Sat, Mar 7",Virginia Tech,W 76-72,76,72,True
2026,Virginia,258,"Thu, Mar 12",NC State,W 81-74,81,74,True
2026,Virginia,258,"Fri, Mar 13",Miami FL,W 84-62,84,62,True
2026,Virginia,258,"Sat, Mar 14",Duke,L 74-70,74,70,False
2026,Alabama,333,"Mon, Nov 3",North Dakota,W 91-62,91,62,True
2026,Alabama,333,"Sat, Nov 8",St John's,W 103-96,103,96,True
2026,Alabama,333,"Thu, Nov 13",Purdue,L 87-80,87,80,False
2026,Alabama,333,"Wed, Nov 19",Illinois,W 90-86,90,86,True
2026,Alabama,333,"Mon, Nov 24",Gonzaga,L 95-85,95,85,False
2026,Alabama,333,"Tue, Nov 25",UNLV,W 115-76,115,76,True
2026,Alabama,333,"Wed, Nov 26",Maryland,W 105-72,105,72,True
2026,Alabama,333,"Wed, Dec 3",Clemson,W 90-84,90,84,True
2026,Alabama,333,"Sun, Dec 7",UT San Antonio,W 97-55,97,55,True
2026,Alabama,333,"Sat, Dec 13",Arizona,L 96-75,96,75,False
2026,Alabama,333,"Wed, Dec 17",South Florida,W 104-93,104,93,True
2026,Alabama,333,"Sun, Dec 21",Kennesaw,W 92-81,92,81,True
2026,Alabama,333,"Mon, Dec 29",Yale,W 102-78,102,78,True
2026,Alabama,333,"Sat, Jan 3",Kentucky,W 89-74,89,74,True
2026,Alabama,333,"Wed, Jan 7",Vanderbilt,L 96-90,96,90,False
2026,Alabama,333,"Sat, Jan 10",Texas,L 92-88,92,88,False
2026,Alabama,333,"Tue, Jan 13",Mississippi St,W 97-82,97,82,True
2026,Alabama,333,"Sat, Jan 17",Oklahoma,W 83-81,83,81,True
2026,Alabama,333,"Sat, Jan 24",Tennessee,L 79-73,79,73,False
2026,Alabama,333,"Tue, Jan 27",Missouri,W 90-64,90,64,True
2026,Alabama,333,"Sun, Feb 1",Florida,L 100-77,100,77,False
2026,Alabama,333,"Wed, Feb 4",Texas A&M,W 100-97,100,97,True
2026,Alabama,333,"Sat, Feb 7",Auburn,W 96-92,96,92,True
2026,Alabama,333,"Wed, Feb 11",Mississippi,W 93-74,93,74,True
2026,Alabama,333,"Sat, Feb 14",South Carolina,W 89-75,89,75,True
2026,Alabama,333,"Sat, Feb 21",LSU,W 90-83,90,83,True
2026,Alabama,333,"Wed, Feb 25",Mississippi St,W 100-75,100,75,True
2026,Alabama,333,"Sat, Feb 28",Tennessee,W 71-69,71,69,True
2026,Alabama,333,"Tue, Mar 3",Georgia,L 98-88,98,88,False
2026,Alabama,333,"Sat, Mar 7",Auburn,W 96-84,96,84,True
2026,Alabama,333,"Fri, Mar 13",Mississippi,L 80-79,80,79,False
2026,Louisville,97,"Mon, Nov 3",S Carolina St,W 104-45,104,45,True
2026,Louisville,97,"Thu, Nov 6",Jackson St,W 106-70,106,70,True
2026,Louisville,97,"Tue, Nov 11",Kentucky,W 96-88,96,88,True
2026,Louisville,97,"Sat, Nov 15",Ohio,W 106-81,106,81,True
2026,Louisville,97,"Fri, Nov 21",Cincinnati,W 74-64,74,64,True
2026,Louisville,97,"Mon, Nov 24",E Michigan,W 87-46,87,46,True
2026,Louisville,97,"Wed, Nov 26",NJIT,W 104-47,104,47,True
2026,Louisville,97,"Wed, Dec 3",Arkansas,L 89-80,89,80,False
2026,Louisville,97,"Sat, Dec 6",Indiana,W 87-78,87,78,True
2026,Louisville,97,"Sat, Dec 13",Memphis,W 99-73,99,73,True
2026,Louisville,97,"Tue, Dec 16",Tennessee,L 83-62,83,62,False
2026,Louisville,97,"Sat, Dec 20",Montana,W 94-54,94,54,True
2026,Louisville,97,"Tue, Dec 30",California,W 90-70,90,70,True
2026,Louisville,97,"Fri, Jan 2",Stanford,L 80-76,80,76,False
2026,Louisville,97,"Tue, Jan 6",Duke,L 84-73,84,73,False
2026,Louisville,97,"Sat, Jan 10",Boston College,W 75-62,75,62,True
2026,Louisville,97,"Tue, Jan 13",Virginia,L 79-70,79,70,False
2026,Louisville,97,"Sat, Jan 17",Pittsburgh,W 100-59,100,59,True
2026,Louisville,97,"Sat, Jan 24",Virginia Tech,W 85-71,85,71,True
2026,Louisville,97,"Mon, Jan 26",Duke,L 83-52,83,52,False
2026,Louisville,97,"Sat, Jan 31",SMU,W 88-74,88,74,True
2026,Louisville,97,"Wed, Feb 4",Notre Dame,W 76-65,76,65,True
2026,Louisville,97,"Sat, Feb 7",Wake Forest,W 88-80,88,80,True
2026,Louisville,97,"Mon, Feb 9",NC State,W 118-77,118,77,True
2026,Louisville,97,"Sat, Feb 14",Baylor,W 82-71,82,71,True
2026,Louisville,97,"Tue, Feb 17",SMU,L 95-85,95,85,False
2026,Louisville,97,"Sat, Feb 21",Georgia Tech,W 87-70,87,70,True
2026,Louisville,97,"Mon, Feb 23",North Carolina,L 77-74,77,74,False
2026,Louisville,97,"Sat, Feb 28",Clemson,L 80-75,80,75,False
2026,Louisville,97,"Tue, Mar 3",Syracuse,W 77-62,77,62,True
2026,Louisville,97,"Sat, Mar 7",Miami FL,W 92-89,92,89,True
2026,Louisville,97,"Wed, Mar 11",SMU,W 62-58,62,58,True
2026,Louisville,97,"Thu, Mar 12",Miami FL,L 78-73,78,73,False
2026,Kentucky,96,"Tue, Nov 4",Nicholls St,W 77-51,77,51,True
2026,Kentucky,96,"Fri, Nov 7",Valparaiso,W 107-59,107,59,True
2026,Kentucky,96,"Tue, Nov 11",Louisville,L 96-88,96,88,False
2026,Kentucky,96,"Fri, Nov 14",E Illinois,W 99-53,99,53,True
2026,Kentucky,96,"Tue, Nov 18",Michigan St,L 83-66,83,66,False
2026,Kentucky,96,"Fri, Nov 21",Loyola MD,W 88-46,88,46,True
2026,Kentucky,96,"Wed, Nov 26",Tennessee Tech,W 104-54,104,54,True
2026,Kentucky,96,"Tue, Dec 2",North Carolina,L 67-64,67,64,False
2026,Kentucky,96,"Fri, Dec 5",Gonzaga,L 94-59,94,59,False
2026,Kentucky,96,"Tue, Dec 9",NC Central,W 103-67,103,67,True
2026,Kentucky,96,"Sat, Dec 13",Indiana,W 72-60,72,60,True
2026,Kentucky,96,"Sat, Dec 20",St John's,W 78-66,78,66,True
2026,Kentucky,96,"Tue, Dec 23",Bellarmine,W 99-85,99,85,True
2026,Kentucky,96,"Sat, Jan 3",Alabama,L 89-74,89,74,False
2026,Kentucky,96,"Wed, Jan 7",Missouri,L 73-68,73,68,False
2026,Kentucky,96,"Sat, Jan 10",Mississippi St,W 92-68,92,68,True
2026,Kentucky,96,"Wed, Jan 14",LSU,W 75-74,75,74,True
2026,Kentucky,96,"Sat, Jan 17",Tennessee,W 80-78,80,78,True
2026,Kentucky,96,"Wed, Jan 21",Texas,W 85-80,85,80,True
2026,Kentucky,96,"Sat, Jan 24",Mississippi,W 72-63,72,63,True
2026,Kentucky,96,"Tue, Jan 27",Vanderbilt,L 80-55,80,55,False
2026,Kentucky,96,"Sat, Jan 31",Arkansas,W 85-77,85,77,True
2026,Kentucky,96,"Wed, Feb 4",Oklahoma,W 94-78,94,78,True
2026,Kentucky,96,"Sat, Feb 7",Tennessee,W 74-71,74,71,True
2026,Kentucky,96,"Sat, Feb 14",Florida,L 92-83,92,83,False
2026,Kentucky,96,"Tue, Feb 17",Georgia,L 86-78,86,78,False
2026,Kentucky,96,"Sat, Feb 21",Auburn,L 75-74,75,74,False
2026,Kentucky,96,"Tue, Feb 24",South Carolina,W 72-63,72,63,True
2026,Kentucky,96,"Sat, Feb 28",Vanderbilt,W 91-77,91,77,True
2026,Kentucky,96,"Tue, Mar 3",Texas A&M,L 96-85,96,85,False
2026,Kentucky,96,"Sat, Mar 7",Florida,L 84-77,84,77,False
2026,Kentucky,96,"Wed, Mar 11",LSU,W 87-82,87,82,True
2026,Kentucky,96,"Thu, Mar 12",Missouri,W 78-72,78,72,True
2026,Kentucky,96,"Fri, Mar 13",Florida,L 71-63,71,63,False
2026,Texas Tech,2641,"Tue, Nov 4",Lindenwood,W 98-60,98,60,True
2026,Texas Tech,2641,"Fri, Nov 7",Sam Houston St,W 98-77,98,77,True
2026,Texas Tech,2641,"Tue, Nov 11",Illinois,L 81-77,81,77,False
2026,Texas Tech,2641,"Fri, Nov 14",WI Milwaukee,W 80-63,80,63,True
2026,Texas Tech,2641,"Thu, Nov 20",Wake Forest,W 84-83,84,83,True
2026,Texas Tech,2641,"Fri, Nov 21",Purdue,L 86-56,86,56,False
2026,Texas Tech,2641,"Wed, Nov 26",New Orleans,W 82-50,82,50,True
2026,Texas Tech,2641,"Sun, Nov 30",Wyoming,W 76-72,76,72,True
2026,Texas Tech,2641,"Sun, Dec 7",LSU,W 82-58,82,58,True
2026,Texas Tech,2641,"Sat, Dec 13",Arkansas,L 93-86,93,86,False
2026,Texas Tech,2641,"Tue, Dec 16",N Colorado,W 101-90,101,90,True
2026,Texas Tech,2641,"Sat, Dec 20",Duke,W 82-81,82,81,True
2026,Texas Tech,2641,"Sun, Dec 28",Winthrop,W 87-57,87,57,True
2026,Texas Tech,2641,"Sat, Jan 3",Oklahoma St,W 102-80,102,80,True
2026,Texas Tech,2641,"Tue, Jan 6",Houston,L 69-65,69,65,False
2026,Texas Tech,2641,"Sat, Jan 10",Colorado,W 73-71,73,71,True
2026,Texas Tech,2641,"Wed, Jan 14",Utah,W 88-74,88,74,True
2026,Texas Tech,2641,"Sat, Jan 17",BYU,W 84-71,84,71,True
2026,Texas Tech,2641,"Tue, Jan 20",Baylor,W 92-73,92,73,True
2026,Texas Tech,2641,"Sat, Jan 24",Houston,W 90-86,90,86,True
2026,Texas Tech,2641,"Sat, Jan 31",UCF,L 88-80,88,80,False
2026,Texas Tech,2641,"Mon, Feb 2",Kansas,L 64-61,64,61,False
2026,Texas Tech,2641,"Sun, Feb 8",West Virginia,W 70-63,70,63,True
2026,Texas Tech,2641,"Wed, Feb 11",Colorado,W 78-44,78,44,True
2026,Texas Tech,2641,"Tue, Feb 17",Arizona St,L 72-67,72,67,False
2026,Texas Tech,2641,"Sat, Feb 21",Kansas St,W 100-72,100,72,True
2026,Texas Tech,2641,"Tue, Feb 24",Cincinnati,W 80-68,80,68,True
2026,Texas Tech,2641,"Sat, Feb 28",Iowa St,W 82-73,82,73,True
2026,Texas Tech,2641,"Tue, Mar 3",TCU,L 73-65,73,65,False
2026,Texas Tech,2641,"Sat, Mar 7",BYU,L 82-76,82,76,False
2026,Texas Tech,2641,"Thu, Mar 12",Iowa St,L 75-53,75,53,False
2026,Wisconsin,275,"Mon, Nov 3",Campbell,W 96-64,96,64,True
2026,Wisconsin,275,"Fri, Nov 7",N Illinois,W 97-72,97,72,True
2026,Wisconsin,275,"Tue, Nov 11",Ball St,W 86-55,86,55,True
2026,Wisconsin,275,"Mon, Nov 17",SIUE,W 94-69,94,69,True
2026,Wisconsin,275,"Fri, Nov 21",BYU,L 98-70,98,70,False
2026,Wisconsin,275,"Thu, Nov 27",Providence,W 104-83,104,83,True
2026,Wisconsin,275,"Fri, Nov 28",TCU,L 74-63,74,63,False
2026,Wisconsin,275,"Wed, Dec 3",Northwestern,W 85-73,85,73,True
2026,Wisconsin,275,"Sat, Dec 6",Marquette,W 96-76,96,76,True
2026,Wisconsin,275,"Wed, Dec 10",Nebraska,L 90-60,90,60,False
2026,Wisconsin,275,"Mon, Dec 22",C Michigan,W 88-61,88,61,True
2026,Wisconsin,275,"Tue, Dec 30",WI Milwaukee,W 80-60,80,60,True
2026,Wisconsin,275,"Sat, Jan 3",Purdue,L 89-73,89,73,False
2026,Wisconsin,275,"Tue, Jan 6",UCLA,W 80-72,80,72,True
2026,Wisconsin,275,"Sat, Jan 10",Michigan,W 91-88,91,88,True
2026,Wisconsin,275,"Tue, Jan 13",Minnesota,W 78-75,78,75,True
2026,Wisconsin,275,"Sat, Jan 17",Rutgers,W 96-87,96,87,True
2026,Wisconsin,275,"Thu, Jan 22",Penn St,W 98-71,98,71,True
2026,Wisconsin,275,"Sun, Jan 25",USC,L 73-71,73,71,False
2026,Wisconsin,275,"Wed, Jan 28",Minnesota,W 67-63,67,63,True
2026,Wisconsin,275,"Sat, Jan 31",Ohio St,W 92-82,92,82,True
2026,Wisconsin,275,"Fri, Feb 13",Michigan St,W 92-71,92,71,True
2026,Wisconsin,275,"Tue, Feb 17",Ohio St,L 86-69,86,69,False
2026,Wisconsin,275,"Sun, Feb 22",Iowa,W 84-71,84,71,True
2026,Wisconsin,275,"Wed, Feb 25",Oregon,L 85-71,85,71,False
2026,Wisconsin,275,"Sat, Feb 28",Washington,W 90-73,90,73,True
2026,Wisconsin,275,"Wed, Mar 4",Maryland,W 78-45,78,45,True
2026,Wisconsin,275,"Sat, Mar 7",Purdue,W 97-93,97,93,True
2026,Wisconsin,275,"Thu, Mar 12",Washington,W 85-82,85,82,True
2026,Wisconsin,275,"Sat, Mar 14",Michigan,L 68-65,68,65,False
2026,Tennessee,2633,"Mon, Nov 3",Mercer,W 76-61,76,61,True
2026,Tennessee,2633,"Sat, Nov 8",N Kentucky,W 95-56,95,56,True
2026,Tennessee,2633,"Wed, Nov 12",North Florida,W 99-66,99,66,True
2026,Tennessee,2633,"Mon, Nov 17",Rice,W 91-66,91,66,True
2026,Tennessee,2633,"Thu, Nov 20",Tennessee St,W 89-60,89,60,True
2026,Tennessee,2633,"Mon, Nov 24",Rutgers,W 85-60,85,60,True
2026,Tennessee,2633,"Tue, Nov 25",Houston,W 76-73,76,73,True
2026,Tennessee,2633,"Wed, Nov 26",Kansas,L 81-76,81,76,False
2026,Tennessee,2633,"Tue, Dec 2",Syracuse,L 62-60,62,60,False
2026,Tennessee,2633,"Sat, Dec 6",Illinois,L 75-62,75,62,False
2026,Tennessee,2633,"Tue, Dec 16",Louisville,W 83-62,83,62,True
2026,Tennessee,2633,"Sun, Dec 21",Gardner Webb,W 94-52,94,52,True
2026,Tennessee,2633,"Tue, Dec 30",S Carolina St,W 105-54,105,54,True
2026,Tennessee,2633,"Sat, Jan 3",Arkansas,L 86-75,86,75,False
2026,Tennessee,2633,"Tue, Jan 6",Texas,W 85-71,85,71,True
2026,Tennessee,2633,"Sat, Jan 10",Florida,L 91-67,91,67,False
2026,Tennessee,2633,"Sat, Jan 17",Kentucky,L 80-78,80,78,False
2026,Tennessee,2633,"Sat, Jan 24",Alabama,W 79-73,79,73,True
2026,Tennessee,2633,"Sat, Jan 31",Auburn,W 77-69,77,69,True
2026,Tennessee,2633,"Tue, Feb 3",Mississippi,W 84-66,84,66,True
2026,Tennessee,2633,"Sat, Feb 7",Kentucky,L 74-71,74,71,False
2026,Tennessee,2633,"Wed, Feb 11",Mississippi St,W 73-64,73,64,True
2026,Tennessee,2633,"Sat, Feb 14",LSU,W 73-63,73,63,True
2026,Tennessee,2633,"Wed, Feb 18",Oklahoma,W 89-66,89,66,True
2026,Tennessee,2633,"Sat, Feb 21",Vanderbilt,W 69-65,69,65,True
2026,Tennessee,2633,"Tue, Feb 24",Missouri,L 73-69,73,69,False
2026,Tennessee,2633,"Sat, Feb 28",Alabama,L 71-69,71,69,False
2026,Tennessee,2633,"Tue, Mar 3",South Carolina,W 78-59,78,59,True
2026,Tennessee,2633,"Sat, Mar 7",Vanderbilt,L 86-82,86,82,False
2026,Tennessee,2633,"Thu, Mar 12",Auburn,W 72-62,72,62,True
2026,Tennessee,2633,"Fri, Mar 13",Vanderbilt,L 75-68,75,68,False
2026,Arkansas,8,"Mon, Nov 3",Southern Univ,W 109-77,109,77,True
2026,Arkansas,8,"Sat, Nov 8",Michigan St,L 69-66,69,66,False
2026,Arkansas,8,"Tue, Nov 11",Cent Arkansas,W 93-56,93,56,True
2026,Arkansas,8,"Fri, Nov 14",Samford,W 79-75,79,75,True
2026,Arkansas,8,"Tue, Nov 18",Winthrop,W 84-83,84,83,True
2026,Arkansas,8,"Fri, Nov 21",Jackson St,W 115-61,115,61,True
2026,Arkansas,8,"Thu, Nov 27",Duke,L 80-71,80,71,False
2026,Arkansas,8,"Wed, Dec 3",Louisville,W 89-80,89,80,True
2026,Arkansas,8,"Sat, Dec 6",Fresno St,W 82-58,82,58,True
2026,Arkansas,8,"Sat, Dec 13",Texas Tech,W 93-86,93,86,True
2026,Arkansas,8,"Tue, Dec 16",Queens NC,W 108-80,108,80,True
2026,Arkansas,8,"Sat, Dec 20",Houston,L 94-85,94,85,False
2026,Arkansas,8,"Mon, Dec 29",James Madison,W 103-74,103,74,True
2026,Arkansas,8,"Sat, Jan 3",Tennessee,W 86-75,86,75,True
2026,Arkansas,8,"Wed, Jan 7",Mississippi,W 94-87,94,87,True
2026,Arkansas,8,"Sat, Jan 10",Auburn,L 95-73,95,73,False
2026,Arkansas,8,"Wed, Jan 14",South Carolina,W 108-74,108,74,True
2026,Arkansas,8,"Sat, Jan 17",Georgia,L 90-76,90,76,False
2026,Arkansas,8,"Tue, Jan 20",Vanderbilt,W 93-68,93,68,True
2026,Arkansas,8,"Sat, Jan 24",LSU,W 85-81,85,81,True
2026,Arkansas,8,"Tue, Jan 27",Oklahoma,W 83-79,83,79,True
2026,Arkansas,8,"Sat, Jan 31",Kentucky,L 85-77,85,77,False
2026,Arkansas,8,"Sat, Feb 7",Mississippi St,W 88-68,88,68,True
2026,Arkansas,8,"Tue, Feb 10",LSU,W 91-62,91,62,True
2026,Arkansas,8,"Sat, Feb 14",Auburn,W 88-75,88,75,True
2026,Arkansas,8,"Sat, Feb 21",Missouri,W 94-86,94,86,True
2026,Arkansas,8,"Wed, Feb 25",Texas A&M,W 99-84,99,84,True
2026,Arkansas,8,"Sat, Feb 28",Florida,L 111-77,111,77,False
2026,Arkansas,8,"Wed, Mar 4",Texas,W 105-85,105,85,True
2026,Arkansas,8,"Fri, Mar 13",Oklahoma,W 82-79,82,79,True
2026,Arkansas,8,"Sun, Mar 15",Vanderbilt,W 86-75,86,75,True
2026,North Carolina,153,"Mon, Nov 3",Cent Arkansas,W 94-54,94,54,True
2026,North Carolina,153,"Fri, Nov 7",Kansas,W 87-74,87,74,True
2026,North Carolina,153,"Tue, Nov 11",Radford,W 89-74,89,74,True
2026,North Carolina,153,"Fri, Nov 14",NC Central,W 97-53,97,53,True
2026,North Carolina,153,"Tue, Nov 18",Navy,W 73-61,73,61,True
2026,North Carolina,153,"Tue, Nov 25",St Bonaventure,W 85-70,85,70,True
2026,North Carolina,153,"Thu, Nov 27",Michigan St,L 74-58,74,58,False
2026,North Carolina,153,"Tue, Dec 2",Kentucky,W 67-64,67,64,True
2026,North Carolina,153,"Sun, Dec 7",Georgetown,W 81-61,81,61,True
2026,North Carolina,153,"Sat, Dec 13",SC Upstate,W 80-62,80,62,True
2026,North Carolina,153,"Tue, Dec 16",ETSU,W 77-58,77,58,True
2026,North Carolina,153,"Sat, Dec 20",Ohio St,W 71-70,71,70,True
2026,North Carolina,153,"Mon, Dec 22",East Carolina,W 99-51,99,51,True
2026,North Carolina,153,"Tue, Dec 30",Florida St,W 79-66,79,66,True
2026,North Carolina,153,"Sat, Jan 3",SMU,L 97-83,97,83,False
2026,North Carolina,153,"Sat, Jan 10",Wake Forest,W 87-84,87,84,True
2026,North Carolina,153,"Wed, Jan 14",Stanford,L 95-90,95,90,False
2026,North Carolina,153,"Sat, Jan 17",California,L 84-78,84,78,False
2026,North Carolina,153,"Wed, Jan 21",Notre Dame,W 91-69,91,69,True
2026,North Carolina,153,"Sat, Jan 24",Virginia,W 85-80,85,80,True
2026,North Carolina,153,"Sat, Jan 31",Georgia Tech,W 91-75,91,75,True
2026,North Carolina,153,"Mon, Feb 2",Syracuse,W 87-77,87,77,True
2026,North Carolina,153,"Sat, Feb 7",Duke,W 71-68,71,68,True
2026,North Carolina,153,"Tue, Feb 10",Miami FL,L 75-66,75,66,False
2026,North Carolina,153,"Sat, Feb 14",Pittsburgh,W 79-65,79,65,True
2026,North Carolina,153,"Tue, Feb 17",NC State,L 82-58,82,58,False
2026,North Carolina,153,"Sat, Feb 21",Syracuse,W 77-64,77,64,True
2026,North Carolina,153,"Mon, Feb 23",Louisville,W 77-74,77,74,True
2026,North Carolina,153,"Sat, Feb 28",Virginia Tech,W 89-82,89,82,True
2026,North Carolina,153,"Tue, Mar 3",Clemson,W 67-63,67,63,True
2026,North Carolina,153,"Sat, Mar 7",Duke,L 76-61,76,61,False
2026,North Carolina,153,"Thu, Mar 12",Clemson,L 80-79,80,79,False
2026,UCLA,26,"Mon, Nov 3",E Washington,W 80-74,80,74,True
