team,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,stats_source,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Uzbekistan,4723,Uzbekistan,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,49.6,77.835051546392,27.941176470588236,0.0,68.0,19.0
Qatar,4792,Qatar,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,53.857142857143,75.594451783355,41.25,57.142857142857146,80.0,33.0
Iraq,4767,Iraq,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,53.25,81.419855795896,28.8135593220339,50.0,59.0,17.0
South Africa,4736,South Africa,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,51.571428571429,82.347447073474,43.421052631578945,30.0,76.0,33.0
Saudi Arabia,4834,Saudi Arabia,140,72840,CONCACAF Gold Cup,CONCACAF Gold Cup 2025,fallback,45.5,77.856635911994,36.0,100.0,25.0,9.0
Ghana,4764,Ghana,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,42.666666666667,79.359823399558,33.333333333333336,50.0,24.0,8.0
DR Congo,4823,Congo DR,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,45.428571428571,80.575539568345,22.727272727272727,18.181818181818183,88.0,20.0
Jordan,4771,Jordan,246,51384,AFC Asian Cup,AFC Asian Cup 2023,fallback,46.0,76.062879599857,40.0,33.333333333333336,95.0,38.0
Bosnia and Herzegovina,4479,Bosnia-Herzegovina,11,69427,World Cup Qual. UEFA,"World Cup Qualification, UEFA 2026",wc_qual,49.9,79.849694692344,33.125,0.0,160.0,53.0
Cape Verde,4753,Cape Verde,270,56021,Africa Cup of Nations,Africa Cup of Nations 2023,fallback,53.8,82.027649769585,25.333333333333332,25.0,75.0,19.0
Haiti,7229,Haiti,140,72840,CONCACAF Gold Cup,CONCACAF Gold Cup 2025,fallback,46.333333333333,76.072961373391,29.72972972972973,0.0,37.0,11.0
Curaçao,55827,Curaçao,140,72840,CONCACAF Gold Cup,CONCACAF Gold Cup 2025,fallback,53.666666666667,80.09828009828,36.36363636363637,,22.0,8.0
New Zealand,4784,New Zealand,16,2531,FIFA World Cup,World Cup 2010,wc_finals_fallback,37.666666666667,69.125993189557,16.666666666666668,,18.0,3.0
