team,year,advanced_stats_source,has_sofascore_advanced,advanced_any_imputed,raw_last12mo_avg_possession,raw_last12mo_pass_completion_pct,raw_last12mo_set_piece_success_rate,raw_last12mo_shots_on_target_pct,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_imputed_last12mo_avg_possession,advanced_imputed_last12mo_pass_completion_pct,advanced_imputed_last12mo_set_piece_success_rate,advanced_imputed_last12mo_shots_on_target_pct,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_avg_opponent_elo,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,host_confederation_match,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,is_host
Uruguay,2026,2026.0,True,False,52.666666666667,82.176165803109,9.090909090909092,30.851063829787233,52.666666666667,82.176165803109,9.090909090909092,30.851063829787233,False,False,False,False,1890.0,11.0,0.09090909090909091,0.375,1721.125,1.0,0.875,0.125,8.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,14.0,0.0,0.0
Morocco,2026,2026.0,True,False,54.5,86.63282571912,0.0,35.08771929824562,54.5,86.63282571912,0.0,35.08771929824562,False,False,False,False,1830.0,12.0,0.08333333333333333,0.8095238095238095,1515.095238095238,1.9047619047619047,0.2857142857142857,1.619047619047619,21.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Colombia,2026,2026.0,True,False,56.777777777778,85.614258434118,27.272727272727273,38.8663967611336,56.777777777778,85.614258434118,27.272727272727273,38.8663967611336,False,False,False,False,1998.0,13.0,0.07692307692307693,0.625,1788.125,2.5,1.125,1.375,8.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Mexico,2026,2026.0,True,False,61.166666666667,86.691542288557,0.0,42.857142857142854,61.166666666667,86.691542288557,0.0,42.857142857142854,False,False,False,False,1835.0,14.0,0.07142857142857142,0.47058823529411764,1693.7058823529412,1.2352941176470589,0.7647058823529411,0.47058823529411764,17.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,1.0
United States,2026,2026.0,True,False,59.5,86.639538826721,0.0,43.20987654320987,59.5,86.639538826721,0.0,43.20987654320987,False,False,False,False,,16.0,0.0625,0.5714285714285714,1710.0,1.9285714285714286,1.3571428571428572,0.5714285714285714,14.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0
Switzerland,2026,2026.0,True,False,60.5,88.386549872845,66.66666666666667,49.23076923076923,60.5,88.386549872845,66.66666666666667,49.23076923076923,False,False,False,False,1897.0,17.0,0.058823529411764705,0.5,1762.125,2.125,0.75,1.375,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
Japan,2026,2026.0,True,False,62.4,83.316481294237,33.333333333333336,27.692307692307693,62.4,83.316481294237,33.333333333333336,27.692307692307693,False,False,False,False,1878.0,18.0,0.05555555555555555,0.625,1767.375,1.5,0.75,0.75,8.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Senegal,2026,2026.0,True,True,52.0,81.742738589212,,34.09090909090909,52.0,81.742738589212,-1.0,34.09090909090909,False,False,True,False,1803.0,19.0,0.05263157894736842,0.8,1520.4,2.6,0.6666666666666666,1.9333333333333333,15.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Iran,2026,2026.0,True,False,58.333333333333,79.411764705882,50.0,31.683168316831683,58.333333333333,79.411764705882,50.0,31.683168316831683,False,False,False,False,1754.0,20.0,0.05,0.3333333333333333,1586.3333333333333,1.5,0.6666666666666666,0.8333333333333334,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Austria,2026,2026.0,True,False,64.25,85.141229527652,25.0,50.467289719626166,64.25,85.141229527652,25.0,50.467289719626166,False,False,False,False,1818.0,22.0,0.045454545454545456,0.75,1471.125,2.75,0.5,2.25,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
