,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,65,616,65,2025-03-14,IND,@,PHI,W 112-100,1,28:40,12,20,0.600,1,4,0.250,11,16,0.688,0.625,2,3,0.667,2,5,7,4,1,2,2,2,27,22.7,28
,66,617,66,2025-03-15,IND,@,MIL,L 119-126,1,39:00,12,22,0.545,2,7,0.286,10,15,0.667,0.591,0,1,0.000,4,3,7,2,0,2,4,3,26,16.3,-2
,66,,67,2025-03-17,IND,@,MIN,W 132-130 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,67,618,68,2025-03-19,IND,,DAL,W 135-131,1,33:36,11,16,0.688,3,4,0.750,8,12,0.667,0.781,4,5,0.800,0,1,1,5,1,1,3,4,29,22.7,4
,68,619,69,2025-03-20,IND,,BRK,W 105-99 (OT),1,35:25,2,8,0.250,0,2,0.000,2,6,0.333,0.250,2,3,0.667,0,6,6,5,1,0,4,3,6,1.9,11
,69,620,70,2025-03-22,IND,,BRK,W 108-103,1,33:57,10,20,0.500,1,5,0.200,9,15,0.600,0.525,5,7,0.714,0,3,3,6,0,0,2,3,26,17.1,12
,70,621,71,2025-03-24,IND,,MIN,W 119-103,1,30:47,6,16,0.375,0,3,0.000,6,13,0.462,0.375,2,2,1.000,2,4,6,4,0,0,0,2,14,9.8,26
,71,622,72,2025-03-26,IND,,LAL,L 119-120,1,35:39,6,12,0.500,0,1,0.000,6,11,0.545,0.500,3,4,0.750,3,3,6,2,1,2,1,1,15,14.0,14
,72,623,73,2025-03-27,IND,@,WAS,W 162-109,1,22:46,6,8,0.750,1,1,1.000,5,7,0.714,0.813,0,0,,1,1,2,5,1,0,1,0,13,14.3,14
,73,624,74,2025-03-29,IND,@,OKC,L 111-132,1,27:08,4,11,0.364,1,5,0.200,3,6,0.500,0.409,2,4,0.500,2,7,9,1,0,1,2,1,11,6.6,-22
,74,625,75,2025-03-31,IND,,SAC,W 111-109,1,31:32,4,15,0.267,1,4,0.250,3,11,0.273,0.300,2,2,1.000,2,1,3,6,0,0,1,0,11,7.0,0
,75,626,76,2025-04-02,IND,,CHO,W 119-105,1,28:18,6,15,0.400,1,4,0.250,5,11,0.455,0.433,2,4,0.500,1,5,6,1,2,0,1,2,15,9.2,8
,76,627,77,2025-04-04,IND,,UTA,W 140-112,1,28:54,9,16,0.563,2,4,0.500,7,12,0.583,0.625,2,4,0.500,1,4,5,5,3,4,0,3,22,23.6,16
,76,,78,2025-04-06,IND,@,DEN,W 125-120,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,77,628,79,2025-04-08,IND,,WAS,W 104-98,1,34:15,11,19,0.579,1,1,1.000,10,18,0.556,0.605,1,1,1.000,5,5,10,3,2,0,0,1,24,23.8,-1
,78,629,80,2025-04-10,IND,,CLE,W 114-112,1,33:02,4,10,0.400,1,2,0.500,3,8,0.375,0.450,1,3,0.333,1,7,8,2,0,1,2,1,10,6.3,4
