,Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,57,317,58,2025-02-28,IND,@,MIA,L 120-125,1,36:00,8,15,0.533,3,5,0.600,5,10,0.500,0.633,0,0,,0,2,2,10,4,0,1,1,19,21.9,3
,58,318,59,2025-03-02,IND,,CHI,W 127-112,1,30:41,7,12,0.583,2,4,0.500,5,8,0.625,0.667,1,1,1.000,1,4,5,12,3,0,1,1,17,23.3,16
,59,319,60,2025-03-04,IND,,HOU,W 115-102,1,36:04,9,16,0.563,5,8,0.625,4,8,0.500,0.719,5,5,1.000,0,3,3,15,1,0,2,1,28,30.4,20
,59,,61,2025-03-06,IND,@,ATL,L 118-124,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
,59,,62,2025-03-08,IND,@,ATL,L 118-120,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,59,,63,2025-03-10,IND,@,CHI,L 103-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,60,320,64,2025-03-11,IND,,MIL,W 115-114,1,31:41,5,12,0.417,2,6,0.333,3,6,0.500,0.500,2,2,1.000,1,2,3,10,2,0,1,0,14,16.9,-3
,61,321,65,2025-03-14,IND,@,PHI,W 112-100,1,31:22,5,13,0.385,2,7,0.286,3,6,0.500,0.462,2,3,0.667,2,3,5,10,1,0,1,0,14,15.8,15
,62,322,66,2025-03-15,IND,@,MIL,L 119-126,1,36:34,9,16,0.563,2,6,0.333,7,10,0.700,0.625,4,5,0.800,0,6,6,15,5,0,0,1,24,32.9,12
,62,,67,2025-03-17,IND,@,MIN,W 132-130 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,62,,68,2025-03-19,IND,,DAL,W 135-131,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,62,,69,2025-03-20,IND,,BRK,W 105-99 (OT),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,63,323,70,2025-03-22,IND,,BRK,W 108-103,1,31:58,5,13,0.385,1,6,0.167,4,7,0.571,0.423,5,5,1.000,1,7,8,12,1,0,2,4,16,17.5,8
,64,324,71,2025-03-24,IND,,MIN,W 119-103,1,29:06,9,16,0.563,3,7,0.429,6,9,0.667,0.656,3,3,1.000,0,4,4,11,1,1,1,0,24,26.0,13
,65,325,72,2025-03-26,IND,,LAL,L 119-120,1,31:43,7,16,0.438,1,9,0.111,6,7,0.857,0.469,1,1,1.000,0,0,0,18,2,1,1,2,16,21.1,7
,66,326,73,2025-03-27,IND,@,WAS,W 162-109,1,24:57,9,15,0.600,7,10,0.700,2,5,0.400,0.833,4,5,0.800,0,2,2,6,1,1,1,2,29,26.4,29
,67,327,74,2025-03-29,IND,@,OKC,L 111-132,1,28:41,6,12,0.500,4,9,0.444,2,3,0.667,0.667,2,2,1.000,1,3,4,3,2,0,0,1,18,17.3,-19
