team,year,pre_wc_elo,fifa_rank_score,last12mo_avg_opponent_elo,last12mo_win_pct,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,is_host,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC
Turkey,2026,1880.0,0.038461538461538464,1736.125,0.75,2.375,1.5,0.875,8.0,72.0,54.75,85.026874840031,25.0,35.23809523809524,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sweden,2026,1660.0,0.034482758620689655,1716.0,0.25,1.25,1.875,-0.625,8.0,72.0,50.375,82.663043478261,50.0,32.89473684210526,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Canada,2026,1802.0,0.03225806451612903,1663.8333333333333,0.4166666666666667,1.5,0.4166666666666667,1.0833333333333333,12.0,72.0,57.5,81.799729364005,50.0,37.77777777777778,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Norway,2026,1922.0,0.030303030303030304,1597.0,0.625,3.375,0.75,2.625,8.0,72.0,57.5,89.504170528267,33.333333333333336,39.354838709677416,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Egypt,2026,1591.0,0.029411764705882353,1501.2222222222222,0.4444444444444444,1.2222222222222223,0.7222222222222222,0.5,18.0,72.0,57.25,86.410788381743,50.0,28.985507246376812,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Algeria,2026,1726.0,0.02857142857142857,1453.4117647058824,0.7058823529411765,2.1176470588235294,0.47058823529411764,1.6470588235294117,17.0,72.0,68.333333333333,85.656565656566,0.0,27.659574468085108,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Scotland,2026,1790.0,0.027777777777777776,1720.75,0.5,1.625,1.125,0.5,8.0,72.0,44.666666666667,83.442892358258,-1.0,43.28358208955224,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,2026,1830.0,0.02631578947368421,1440.6923076923076,0.6923076923076923,2.1538461538461537,0.5384615384615384,1.6153846153846154,13.0,72.0,58.142857142857,84.171974522293,33.333333333333336,27.835051546391753,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Czech Republic,2026,1731.0,0.02564102564102564,1543.5,0.375,1.875,0.875,1.0,8.0,72.0,55.3,80.109649122807,25.0,37.423312883435585,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paraguay,2026,1833.0,0.024390243902439025,1738.25,0.375,1.0,1.125,-0.125,8.0,72.0,37.944444444444,72.171991159333,11.11111111111111,33.83838383838384,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Panama,2026,1742.0,0.022727272727272728,1518.642857142857,0.5,1.7142857142857142,0.8571428571428571,0.8571428571428571,14.0,72.0,66.0,89.755902360944,60.0,39.39393939393939,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Tunisia,2026,1641.0,0.02040816326530612,1521.4375,0.5,1.9375,0.8125,1.125,16.0,72.0,51.666666666667,77.219430485762,0.0,26.923076923076923,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Uzbekistan,2026,1735.0,0.0196078431372549,1614.4285714285713,0.42857142857142855,1.4285714285714286,0.7142857142857143,0.7142857142857143,7.0,73.0,49.6,77.835051546392,0.0,27.941176470588236,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Qatar,2026,1427.0,0.018867924528301886,1498.2222222222222,0.1111111111111111,1.0,1.7777777777777777,-0.7777777777777778,9.0,186.0,53.857142857143,75.594451783355,57.142857142857146,41.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Iraq,2026,1582.0,0.01818181818181818,1503.0,0.6363636363636364,1.1818181818181819,0.7272727272727273,0.45454545454545453,11.0,72.0,53.25,81.419855795896,50.0,28.8135593220339,0.0,0.0,0.0,0.0,0.0,1.0,0.0
South Africa,2026,1830.0,0.017543859649122806,1506.909090909091,0.45454545454545453,1.6363636363636365,1.0,0.6363636363636364,11.0,72.0,51.571428571429,82.347447073474,30.0,43.421052631578945,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Saudi Arabia,2026,1830.0,0.017241379310344827,1580.8823529411766,0.4117647058823529,1.0,1.2352941176470589,-0.23529411764705882,17.0,72.0,45.5,77.856635911994,100.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ghana,2026,1509.0,0.016666666666666666,1589.0,0.375,1.25,1.375,-0.125,8.0,73.0,42.666666666667,79.359823399558,50.0,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DR Congo,2026,1830.0,0.01639344262295082,1510.9166666666667,0.6666666666666666,1.5,0.5833333333333334,0.9166666666666666,12.0,72.0,45.428571428571,80.575539568345,18.181818181818183,22.727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan,2026,1687.0,0.014925373134328358,1597.0,0.42857142857142855,1.7857142857142858,1.4285714285714286,0.35714285714285715,14.0,72.0,46.0,76.062879599857,33.333333333333336,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Bosnia and Herzegovina,2026,1830.0,0.014705882352941176,1621.0,0.375,2.375,1.125,1.25,8.0,72.0,49.9,79.849694692344,0.0,33.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,2026,1830.0,0.013888888888888888,1494.75,0.375,1.625,1.125,0.5,8.0,73.0,53.8,82.027649769585,25.0,25.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,2026,1542.0,0.012048192771084338,1501.1818181818182,0.2727272727272727,1.0909090909090908,1.0909090909090908,0.0,11.0,72.0,46.333333333333,76.072961373391,0.0,29.72972972972973,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Curaçao,2026,1467.0,0.011363636363636364,1501.7272727272727,0.2727272727272727,1.4545454545454546,1.1818181818181819,0.2727272727272727,11.0,72.0,53.666666666667,80.09828009828,-1.0,36.36363636363637,0.0,0.0,0.0,1.0,0.0,0.0,0.0
New Zealand,2026,1830.0,0.01098901098901099,1784.125,0.125,0.875,1.625,-0.75,8.0,73.0,37.666666666667,69.125993189557,-1.0,16.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.0
