team,wc_year,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Algeria,2014,4691,Algeria,16,7528,FIFA World Cup,World Cup 2014,39.75,71.927374301676,43.24324324324324,50.0,37.0,16.0
Argentina,2014,4819,Argentina,16,7528,FIFA World Cup,World Cup 2014,55.571428571429,83.837535014006,30.90909090909091,12.5,110.0,34.0
Australia,2014,4741,Australia,16,7528,FIFA World Cup,World Cup 2014,42.0,80.340425531915,28.571428571428573,50.0,28.0,8.0
Belgium,2014,4717,Belgium,16,7528,FIFA World Cup,World Cup 2014,51.6,81.543624161074,36.170212765957444,0.0,94.0,34.0
Bosnia and Herzegovina,2014,4479,Bosnia-Herzegovina,16,7528,FIFA World Cup,World Cup 2014,55.0,84.58904109589,40.816326530612244,0.0,49.0,20.0
Brazil,2014,4748,Brazil,16,7528,FIFA World Cup,World Cup 2014,53.285714285714,80.904696132597,39.285714285714285,15.384615384615385,112.0,44.0
Cameroon,2014,4751,Cameroon,16,7528,FIFA World Cup,World Cup 2014,42.0,77.884615384615,6.818181818181818,0.0,44.0,3.0
Chile,2014,4754,Chile,16,7528,FIFA World Cup,World Cup 2014,55.25,79.162462159435,31.70731707317073,0.0,41.0,13.0
Colombia,2014,4820,Colombia,16,7528,FIFA World Cup,World Cup 2014,46.0,78.072884496603,36.206896551724135,33.333333333333336,58.0,21.0
Costa Rica,2014,4756,Costa Rica,16,7528,FIFA World Cup,World Cup 2014,40.6,75.638934203371,32.5,0.0,40.0,13.0
Croatia,2014,4715,Croatia,16,7528,FIFA World Cup,World Cup 2014,51.0,79.805137289637,37.5,0.0,40.0,15.0
Ecuador,2014,4757,Ecuador,16,7528,FIFA World Cup,World Cup 2014,40.666666666667,72.394678492239,31.25,0.0,32.0,10.0
England,2014,4713,England,16,7528,FIFA World Cup,World Cup 2014,54.666666666667,84.48275862069,30.0,0.0,40.0,12.0
France,2014,4481,France,16,7528,FIFA World Cup,World Cup 2014,56.4,84.254023488473,39.56043956043956,33.333333333333336,91.0,36.0
Germany,2014,4711,Germany,16,7528,FIFA World Cup,World Cup 2014,60.285714285714,85.904194361678,48.0,20.0,100.0,48.0
Ghana,2014,4764,Ghana,16,7528,FIFA World Cup,World Cup 2014,46.333333333333,78.565101860053,22.033898305084747,0.0,59.0,13.0
Greece,2014,4710,Greece,16,7528,FIFA World Cup,World Cup 2014,45.25,81.114327062229,32.20338983050848,16.666666666666668,59.0,19.0
Honduras,2014,4827,Honduras,16,7528,FIFA World Cup,World Cup 2014,46.666666666667,78.284671532847,30.303030303030305,0.0,33.0,10.0
Iran,2014,4766,Iran,16,7528,FIFA World Cup,World Cup 2014,29.666666666667,69.51951951952,26.08695652173913,,23.0,6.0
Italy,2014,4707,Italy,16,7528,FIFA World Cup,World Cup 2014,57.333333333333,88.171394085697,27.272727272727273,0.0,33.0,9.0
Japan,2014,4770,Japan,16,7528,FIFA World Cup,World Cup 2014,59.666666666667,83.064516129032,26.0,0.0,50.0,13.0
Mexico,2014,4781,Mexico,16,7528,FIFA World Cup,World Cup 2014,48.75,79.818887451488,36.58536585365854,0.0,41.0,15.0
Netherlands,2014,4705,Netherlands,16,7528,FIFA World Cup,World Cup 2014,49.0,81.005242059821,46.666666666666664,20.0,90.0,42.0
Nigeria,2014,4785,Nigeria,16,7528,FIFA World Cup,World Cup 2014,48.75,80.722891566265,34.61538461538461,0.0,52.0,18.0
Portugal,2014,4704,Portugal,16,7528,FIFA World Cup,World Cup 2014,51.333333333333,84.882005899705,32.72727272727273,0.0,55.0,18.0
Russia,2014,4694,Russia,16,7528,FIFA World Cup,World Cup 2014,51.666666666667,79.732914375491,30.232558139534884,0.0,43.0,13.0
South Korea,2014,4735,Korea Republic,16,7528,FIFA World Cup,World Cup 2014,53.0,81.5625,35.13513513513514,0.0,37.0,13.0
Spain,2014,4698,Spain,16,7528,FIFA World Cup,World Cup 2014,61.0,84.997242140099,32.5,20.0,40.0,13.0
Switzerland,2014,4699,Switzerland,16,7528,FIFA World Cup,World Cup 2014,49.0,80.382775119617,35.82089552238806,25.0,67.0,24.0
United States,2014,4724,USA,16,7528,FIFA World Cup,World Cup 2014,43.5,81.523022432113,31.11111111111111,0.0,45.0,14.0
Uruguay,2014,4725,Uruguay,16,7528,FIFA World Cup,World Cup 2014,45.75,74.981549815498,28.26086956521739,25.0,46.0,13.0
