team,wc_year,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Angola,2006,4692,Angola,16,16,FIFA World Cup,World Cup 2006,39.666666666667,73.584905660377,27.5,0.0,40.0,11.0
Argentina,2006,4819,Argentina,16,16,FIFA World Cup,World Cup 2006,52.4,83.193277310924,36.666666666666664,0.0,60.0,22.0
Australia,2006,4741,Australia,16,16,FIFA World Cup,World Cup 2006,55.5,81.020642201835,33.333333333333336,16.666666666666668,72.0,24.0
Brazil,2006,4748,Brazil,16,16,FIFA World Cup,World Cup 2006,53.4,86.952965235174,39.77272727272727,0.0,88.0,35.0
Costa Rica,2006,4756,Costa Rica,16,16,FIFA World Cup,World Cup 2006,44.333333333333,78.213689482471,28.125,25.0,32.0,9.0
Croatia,2006,4715,Croatia,16,16,FIFA World Cup,World Cup 2006,44.0,78.008298755187,24.444444444444443,33.333333333333336,45.0,11.0
Czech Republic,2006,4714,Czechia,16,16,FIFA World Cup,World Cup 2006,49.0,76.507439310885,32.608695652173914,0.0,46.0,15.0
Ecuador,2006,4757,Ecuador,16,16,FIFA World Cup,World Cup 2006,49.25,79.393599101628,30.18867924528302,0.0,53.0,16.0
England,2006,4713,England,16,16,FIFA World Cup,World Cup 2006,53.6,79.963570127505,30.337078651685392,14.285714285714286,89.0,27.0
France,2006,4481,France,16,16,FIFA World Cup,World Cup 2006,48.285714285714,82.12927756654,34.375,33.333333333333336,96.0,33.0
Germany,2006,4711,Germany,16,16,FIFA World Cup,World Cup 2006,53.285714285714,80.235365117683,29.577464788732396,0.0,142.0,42.0
Ghana,2006,4764,Ghana,16,16,FIFA World Cup,World Cup 2006,51.25,79.906542056075,27.272727272727273,20.0,77.0,21.0
Iran,2006,4766,Iran,16,16,FIFA World Cup,World Cup 2006,47.0,74.254473161034,52.77777777777778,0.0,36.0,19.0
Italy,2006,4707,Italy,16,16,FIFA World Cup,World Cup 2006,48.0,79.573070607553,35.922330097087375,12.5,103.0,37.0
Japan,2006,4770,Japan,16,16,FIFA World Cup,World Cup 2006,46.666666666667,79.523389232127,23.68421052631579,0.0,38.0,9.0
Mexico,2006,4781,Mexico,16,16,FIFA World Cup,World Cup 2006,52.75,82.601880877743,27.419354838709676,0.0,62.0,17.0
Netherlands,2006,4705,Netherlands,16,16,FIFA World Cup,World Cup 2006,59.0,81.25362739408,35.38461538461539,12.5,65.0,23.0
Paraguay,2006,4789,Paraguay,16,16,FIFA World Cup,World Cup 2006,52.333333333333,75.427176566314,24.56140350877193,0.0,57.0,14.0
Poland,2006,4703,Poland,16,16,FIFA World Cup,World Cup 2006,48.333333333333,77.328936521022,31.57894736842105,0.0,38.0,12.0
Portugal,2006,4704,Portugal,16,16,FIFA World Cup,World Cup 2006,55.0,83.671614662224,34.375,15.384615384615385,128.0,44.0
Saudi Arabia,2006,4834,Saudi Arabia,16,16,FIFA World Cup,World Cup 2006,45.666666666667,76.322869955157,21.21212121212121,0.0,33.0,7.0
South Korea,2006,4735,Korea Republic,16,16,FIFA World Cup,World Cup 2006,56.333333333333,77.625570776256,33.333333333333336,20.0,39.0,13.0
Spain,2006,4698,Spain,16,16,FIFA World Cup,World Cup 2006,63.0,86.322463768116,40.74074074074074,50.0,81.0,33.0
Sweden,2006,4688,Sweden,16,16,FIFA World Cup,World Cup 2006,49.0,75.03259452412,30.303030303030305,0.0,66.0,20.0
Switzerland,2006,4699,Switzerland,16,16,FIFA World Cup,World Cup 2006,52.75,77.889713679745,30.508474576271187,0.0,59.0,18.0
Togo,2006,4836,Togo,16,16,FIFA World Cup,World Cup 2006,39.333333333333,77.517802644964,32.35294117647059,0.0,34.0,11.0
Trinidad and Tobago,2006,5162,Trinidad and Tobago,16,16,FIFA World Cup,World Cup 2006,36.666666666667,69.249394673123,16.129032258064516,0.0,31.0,5.0
Tunisia,2006,4729,Tunisia,16,16,FIFA World Cup,World Cup 2006,44.0,73.080568720379,38.095238095238095,0.0,21.0,8.0
Ukraine,2006,4701,Ukraine,16,16,FIFA World Cup,World Cup 2006,48.4,75.789473684211,27.272727272727273,20.0,77.0,21.0
United States,2006,4724,USA,16,16,FIFA World Cup,World Cup 2006,49.333333333333,74.560669456067,9.375,0.0,32.0,3.0
