team,wc_year,sofascore_team_id,sofascore_team_name,unique_tournament_id,season_id,competition,season,avg_possession,pass_completion_pct,shots_on_target_pct,set_piece_success_rate,sofascore_shots,sofascore_shots_on_target
Argentina,2018,4819,Argentina,16,15586,FIFA World Cup,World Cup 2018,66.0,85.28384279476,30.508474576271187,0.0,59.0,18.0
Australia,2018,4741,Australia,16,15586,FIFA World Cup,World Cup 2018,51.666666666667,84.03122782115,22.580645161290324,66.66666666666667,31.0,7.0
Belgium,2018,4717,Belgium,16,15586,FIFA World Cup,World Cup 2018,52.714285714286,87.145289443814,38.095238095238095,20.0,105.0,40.0
Brazil,2018,4748,Brazil,16,15586,FIFA World Cup,World Cup 2018,58.8,88.840102451518,37.735849056603776,0.0,106.0,40.0
Colombia,2018,4820,Colombia,16,15586,FIFA World Cup,World Cup 2018,50.25,80.435997764114,32.5,33.333333333333336,40.0,13.0
Costa Rica,2018,4756,Costa Rica,16,15586,FIFA World Cup,World Cup 2018,39.0,77.788649706458,33.333333333333336,0.0,27.0,9.0
Croatia,2018,4715,Croatia,16,15586,FIFA World Cup,World Cup 2018,57.0,81.460522770143,25.0,14.285714285714286,116.0,29.0
Denmark,2018,4476,Denmark,16,15586,FIFA World Cup,World Cup 2018,43.0,79.420825631547,30.0,0.0,40.0,12.0
Egypt,2018,4758,Egypt,16,15586,FIFA World Cup,World Cup 2018,42.666666666667,77.049180327869,16.666666666666668,100.0,30.0,5.0
England,2018,4713,England,16,15586,FIFA World Cup,World Cup 2018,54.285714285714,86.001070663812,31.86813186813187,44.44444444444444,91.0,29.0
France,2018,4481,France,16,15586,FIFA World Cup,World Cup 2018,48.285714285714,82.277628032345,36.58536585365854,33.333333333333336,82.0,30.0
Germany,2018,4711,Germany,16,15586,FIFA World Cup,World Cup 2018,72.666666666667,88.900414937759,28.985507246376812,0.0,69.0,20.0
Iceland,2018,4708,Iceland,16,15586,FIFA World Cup,World Cup 2018,32.666666666667,69.543147208122,31.428571428571427,25.0,35.0,11.0
Iran,2018,4766,Iran,16,15586,FIFA World Cup,World Cup 2018,27.0,63.191153238547,17.391304347826086,25.0,23.0,4.0
Japan,2018,4770,Japan,16,15586,FIFA World Cup,World Cup 2018,54.0,84.260178748759,35.714285714285715,50.0,42.0,15.0
Mexico,2018,4781,Mexico,16,15586,FIFA World Cup,World Cup 2018,52.75,83.866995073892,21.311475409836067,33.333333333333336,61.0,13.0
Morocco,2018,4778,Morocco,16,15586,FIFA World Cup,World Cup 2018,49.0,79.591836734694,28.571428571428573,0.0,35.0,10.0
Nigeria,2018,4785,Nigeria,16,15586,FIFA World Cup,World Cup 2018,46.0,77.757847533632,23.076923076923077,50.0,39.0,9.0
Panama,2018,5164,Panama,16,15586,FIFA World Cup,World Cup 2018,36.333333333333,81.231079717457,33.333333333333336,0.0,24.0,8.0
Peru,2018,4790,Peru,16,15586,FIFA World Cup,World Cup 2018,50.666666666667,81.120491174213,35.483870967741936,0.0,31.0,11.0
Poland,2018,4703,Poland,16,15586,FIFA World Cup,World Cup 2018,50.666666666667,82.282069454288,25.0,0.0,32.0,8.0
Portugal,2018,4704,Portugal,16,15586,FIFA World Cup,World Cup 2018,55.0,83.972310969116,26.923076923076923,28.571428571428573,52.0,14.0
Russia,2018,4694,Russia,16,15586,FIFA World Cup,World Cup 2018,37.2,71.266968325792,38.0,100.0,50.0,19.0
Saudi Arabia,2018,4834,Saudi Arabia,16,15586,FIFA World Cup,World Cup 2018,59.333333333333,86.609195402299,24.324324324324323,20.0,37.0,9.0
Senegal,2018,4739,Senegal,16,15586,FIFA World Cup,World Cup 2018,40.666666666667,76.0710553814,36.36363636363637,0.0,33.0,12.0
Serbia,2018,6355,Serbia,16,15586,FIFA World Cup,World Cup 2018,42.0,78.761061946903,23.529411764705884,100.0,34.0,8.0
South Korea,2018,4735,South Korea,16,15586,FIFA World Cup,World Cup 2018,37.333333333333,77.607025246981,27.272727272727273,0.0,33.0,9.0
Spain,2018,4698,Spain,16,15586,FIFA World Cup,World Cup 2018,74.5,91.876498800959,37.142857142857146,0.0,70.0,26.0
Sweden,2018,4688,Sweden,16,15586,FIFA World Cup,World Cup 2018,37.0,72.635814889336,35.08771929824562,28.571428571428573,57.0,20.0
Switzerland,2018,4699,Switzerland,16,15586,FIFA World Cup,World Cup 2018,59.75,84.927536231884,24.56140350877193,0.0,57.0,14.0
Tunisia,2018,4729,Tunisia,16,15586,FIFA World Cup,World Cup 2018,52.666666666667,83.22440087146,34.285714285714285,100.0,35.0,12.0
Uruguay,2018,4725,Uruguay,16,15586,FIFA World Cup,World Cup 2018,47.4,78.87715397443,32.72727272727273,16.666666666666668,55.0,18.0
